"hour","temperature","depth"
"2019-08-12 01:00:00.000","1418","639"
"2019-08-12 01:00:00.000","1412","636"
"2019-08-12 01:00:00.000","1412","638"
"2019-08-12 01:00:00.000","1412","637"
"2019-08-12 01:00:00.000","1412","639"
"2019-08-12 01:00:00.000","1418","638"
"2019-08-12 01:00:00.000","1418","637"
"2019-08-12 01:00:00.000","1418","636"
"2019-08-12 00:00:00.000","1506","638"
"2019-08-12 00:00:00.000","1500","635"
"2019-08-12 00:00:00.000","1500","636"
"2019-08-12 00:00:00.000","1462","638"
"2019-08-12 00:00:00.000","1462","637"
"2019-08-12 00:00:00.000","1456","635"
"2019-08-12 00:00:00.000","1456","639"
"2019-08-12 00:00:00.000","1456","637"
"2019-08-12 00:00:00.000","1443","635"
"2019-08-12 00:00:00.000","1443","636"
"2019-08-12 00:00:00.000","1437","639"
"2019-08-12 00:00:00.000","1418","635"
"2019-08-12 00:00:00.000","1418","636"
"2019-08-12 00:00:00.000","1456","638"
"2019-08-12 00:00:00.000","1418","637"
"2019-08-12 00:00:00.000","1425","638"
"2019-08-12 00:00:00.000","1425","639"
"2019-08-12 00:00:00.000","1431","636"
"2019-08-12 00:00:00.000","1437","638"
"2019-08-12 00:00:00.000","1443","637"
"2019-08-12 00:00:00.000","1443","638"
"2019-08-12 00:00:00.000","1450","638"
"2019-08-12 00:00:00.000","1450","637"
"2019-08-12 00:00:00.000","1450","636"
"2019-08-12 00:00:00.000","1450","635"
"2019-08-12 00:00:00.000","1456","636"
"2019-08-12 00:00:00.000","1518","638"
"2019-08-12 00:00:00.000","1512","636"
"2019-08-12 00:00:00.000","1512","637"
"2019-08-12 00:00:00.000","1506","636"
"2019-08-12 00:00:00.000","1518","637"
"2019-08-12 00:00:00.000","1512","635"
"2019-08-12 00:00:00.000","1512","639"
"2019-08-12 00:00:00.000","1512","638"
"2019-08-12 00:00:00.000","1506","637"
"2019-08-12 00:00:00.000","1500","639"
"2019-08-12 00:00:00.000","1500","638"
"2019-08-12 00:00:00.000","1493","638"
"2019-08-12 00:00:00.000","1493","635"
"2019-08-12 00:00:00.000","1487","638"
"2019-08-12 00:00:00.000","1487","637"
"2019-08-12 00:00:00.000","1475","636"
"2019-08-12 00:00:00.000","1475","635"
"2019-08-12 00:00:00.000","1468","639"
"2019-08-12 00:00:00.000","1462","639"
"2019-08-12 00:00:00.000","1462","636"
"2019-08-12 00:00:00.000","1500","637"
"2019-08-12 00:00:00.000","1493","639"
"2019-08-12 00:00:00.000","1493","637"
"2019-08-12 00:00:00.000","1493","636"
"2019-08-12 00:00:00.000","1487","635"
"2019-08-12 00:00:00.000","1487","636"
"2019-08-12 00:00:00.000","1481","636"
"2019-08-12 00:00:00.000","1481","638"
"2019-08-12 00:00:00.000","1481","637"
