"hour","temperature"
"2019-09-29 21:00:00.000","1493"
"2019-09-29 21:00:00.000","1475"
"2019-09-29 21:00:00.000","1481"
"2019-09-29 21:00:00.000","1487"
"2019-09-29 20:00:00.000","1475"
"2019-09-29 20:00:00.000","1456"
"2019-09-29 20:00:00.000","1462"
"2019-09-29 20:00:00.000","1468"
"2019-09-29 20:00:00.000","1443"
"2019-09-29 20:00:00.000","1437"
"2019-09-29 20:00:00.000","1450"
"2019-09-29 19:00:00.000","1431"
"2019-09-29 19:00:00.000","1456"
"2019-09-29 19:00:00.000","1443"
"2019-09-29 19:00:00.000","1450"
"2019-09-29 19:00:00.000","1425"
"2019-09-29 19:00:00.000","1437"
"2019-09-29 19:00:00.000","1418"
"2019-09-29 18:00:00.000","1406"
"2019-09-29 18:00:00.000","1456"
"2019-09-29 18:00:00.000","1431"
"2019-09-29 18:00:00.000","1418"
"2019-09-29 18:00:00.000","1425"
"2019-09-29 18:00:00.000","1462"
"2019-09-29 18:00:00.000","1443"
"2019-09-29 18:00:00.000","1437"
"2019-09-29 18:00:00.000","1412"
"2019-09-29 18:00:00.000","1450"
"2019-09-29 17:00:00.000","1425"
"2019-09-29 17:00:00.000","1406"
"2019-09-29 17:00:00.000","1431"
"2019-09-29 17:00:00.000","1443"
"2019-09-29 17:00:00.000","1437"
"2019-09-29 17:00:00.000","1412"
"2019-09-29 17:00:00.000","1418"
"2019-09-29 16:00:00.000","1468"
"2019-09-29 16:00:00.000","1493"
"2019-09-29 16:00:00.000","1525"
"2019-09-29 16:00:00.000","1543"
"2019-09-29 16:00:00.000","1550"
"2019-09-29 16:00:00.000","1518"
"2019-09-29 16:00:00.000","1506"
"2019-09-29 16:00:00.000","1531"
"2019-09-29 16:00:00.000","1443"
"2019-09-29 16:00:00.000","1475"
"2019-09-29 16:00:00.000","1431"
"2019-09-29 16:00:00.000","1456"
"2019-09-29 16:00:00.000","1481"
"2019-09-29 16:00:00.000","1500"
"2019-09-29 16:00:00.000","1537"
"2019-09-29 16:00:00.000","1512"
"2019-09-29 16:00:00.000","1487"
"2019-09-29 16:00:00.000","1418"
"2019-09-29 16:00:00.000","1450"
"2019-09-29 16:00:00.000","1462"
"2019-09-29 16:00:00.000","1437"
"2019-09-29 16:00:00.000","1425"
"2019-09-29 16:00:00.000","1412"
"2019-09-29 16:00:00.000","1406"
"2019-09-29 15:00:00.000","1675"
"2019-09-29 15:00:00.000","1587"
"2019-09-29 15:00:00.000","1568"
"2019-09-29 15:00:00.000","1856"
"2019-09-29 15:00:00.000","2006"
"2019-09-29 15:00:00.000","2012"
"2019-09-29 15:00:00.000","2018"
"2019-09-29 15:00:00.000","1862"
"2019-09-29 15:00:00.000","1875"
"2019-09-29 15:00:00.000","1900"
"2019-09-29 15:00:00.000","1912"
"2019-09-29 15:00:00.000","1918"
"2019-09-29 15:00:00.000","1931"
"2019-09-29 15:00:00.000","1943"
"2019-09-29 15:00:00.000","1975"
"2019-09-29 15:00:00.000","1700"
"2019-09-29 15:00:00.000","1681"
"2019-09-29 15:00:00.000","1812"
"2019-09-29 15:00:00.000","1762"
"2019-09-29 15:00:00.000","1562"
"2019-09-29 15:00:00.000","1575"
"2019-09-29 15:00:00.000","1593"
"2019-09-29 15:00:00.000","1606"
"2019-09-29 15:00:00.000","1612"
"2019-09-29 15:00:00.000","1625"
"2019-09-29 15:00:00.000","1618"
"2019-09-29 15:00:00.000","1556"
"2019-09-29 15:00:00.000","1631"
"2019-09-29 15:00:00.000","1637"
"2019-09-29 15:00:00.000","1643"
"2019-09-29 15:00:00.000","1712"
"2019-09-29 15:00:00.000","1718"
"2019-09-29 15:00:00.000","1731"
"2019-09-29 15:00:00.000","1750"
"2019-09-29 15:00:00.000","1756"
"2019-09-29 15:00:00.000","1775"
"2019-09-29 15:00:00.000","1781"
"2019-09-29 15:00:00.000","1743"
"2019-09-29 15:00:00.000","1737"
"2019-09-29 15:00:00.000","1706"
"2019-09-29 15:00:00.000","1818"
"2019-09-29 15:00:00.000","1831"
"2019-09-29 15:00:00.000","1843"
"2019-09-29 15:00:00.000","1881"
"2019-09-29 15:00:00.000","1906"
"2019-09-29 15:00:00.000","1968"
"2019-09-29 15:00:00.000","1981"
"2019-09-29 15:00:00.000","1987"
"2019-09-29 15:00:00.000","1993"
"2019-09-29 15:00:00.000","1550"
"2019-09-29 15:00:00.000","1581"
"2019-09-29 15:00:00.000","1600"
"2019-09-29 15:00:00.000","1650"
"2019-09-29 15:00:00.000","1962"
"2019-09-29 15:00:00.000","1956"
"2019-09-29 15:00:00.000","1950"
"2019-09-29 15:00:00.000","1893"
"2019-09-29 15:00:00.000","1868"
"2019-09-29 15:00:00.000","1656"
"2019-09-29 15:00:00.000","1662"
"2019-09-29 15:00:00.000","1668"
"2019-09-29 15:00:00.000","1693"
"2019-09-29 15:00:00.000","1725"
"2019-09-29 15:00:00.000","1768"
"2019-09-29 15:00:00.000","1787"
"2019-09-29 15:00:00.000","1793"
"2019-09-29 15:00:00.000","1800"
"2019-09-29 15:00:00.000","1825"
"2019-09-29 15:00:00.000","1850"
"2019-09-29 15:00:00.000","2000"
"2019-09-29 15:00:00.000","1937"
"2019-09-29 15:00:00.000","1925"
"2019-09-29 15:00:00.000","1887"
"2019-09-29 15:00:00.000","1837"
"2019-09-29 15:00:00.000","1806"
"2019-09-29 15:00:00.000","1687"
"2019-09-29 14:00:00.000","2218"
"2019-09-29 14:00:00.000","2187"
"2019-09-29 14:00:00.000","2175"
"2019-09-29 14:00:00.000","2137"
"2019-09-29 14:00:00.000","2106"
"2019-09-29 14:00:00.000","2100"
"2019-09-29 14:00:00.000","2650"
"2019-09-29 14:00:00.000","2668"
"2019-09-29 14:00:00.000","2681"
"2019-09-29 14:00:00.000","2693"
"2019-09-29 14:00:00.000","2718"
"2019-09-29 14:00:00.000","2731"
"2019-09-29 14:00:00.000","2737"
"2019-09-29 14:00:00.000","2750"
"2019-09-29 14:00:00.000","2793"
"2019-09-29 14:00:00.000","2812"
"2019-09-29 14:00:00.000","2825"
"2019-09-29 14:00:00.000","2843"
"2019-09-29 14:00:00.000","2856"
"2019-09-29 14:00:00.000","2893"
"2019-09-29 14:00:00.000","2456"
"2019-09-29 14:00:00.000","2443"
"2019-09-29 14:00:00.000","2431"
"2019-09-29 14:00:00.000","2418"
"2019-09-29 14:00:00.000","2325"
"2019-09-29 14:00:00.000","2306"
"2019-09-29 14:00:00.000","2293"
"2019-09-29 14:00:00.000","2256"
"2019-09-29 14:00:00.000","2243"
"2019-09-29 14:00:00.000","2237"
"2019-09-29 14:00:00.000","2212"
"2019-09-29 14:00:00.000","2200"
"2019-09-29 14:00:00.000","2193"
"2019-09-29 14:00:00.000","2143"
"2019-09-29 14:00:00.000","2931"
"2019-09-29 14:00:00.000","2937"
"2019-09-29 14:00:00.000","2993"
"2019-09-29 14:00:00.000","3043"
"2019-09-29 14:00:00.000","3062"
"2019-09-29 14:00:00.000","3112"
"2019-09-29 14:00:00.000","2487"
"2019-09-29 14:00:00.000","2493"
"2019-09-29 14:00:00.000","2543"
"2019-09-29 14:00:00.000","2037"
"2019-09-29 14:00:00.000","2043"
"2019-09-29 14:00:00.000","2056"
